Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,Middle Sierra,2018-2028,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",160,140,-20,-0.1,40,60,80,0.00,68325.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-2054,"Special Education Teachers, Secondary School",60,60,0,0.0,20,20,40,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",100,100,0,0.0,60,60,110,0.00,32554.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-4021,Librarians,20,20,0,-0.0,10,10,20,0.00,0.00,Master's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-4031,Library Technicians,70,60,-10,-0.1,60,40,100,18.38,38215.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-9031,Instructional Coordinators,40,30,-10,-0.1,20,20,30,18.19,37831.00,Master's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,25-9041,Teacher Assistants,670,560,-110,-0.2,330,320,540,0.00,0.00,"Some college, no degree",None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-9099,"Education, Training, and Library Workers, All Other",20,20,0,0.0,10,10,20,17.55,36493.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,27-1024,Graphic Designers,50,30,-10,-0.3,10,30,30,21.21,44120.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,27-2011,Actors,10,10,0,0.5,0,10,10,0.00,0.00,"Some college, no degree",None,Long-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,27-2012,Producers and Directors,20,20,10,0.3,0,10,20,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,27-2041,Music Directors and Composers,0,0,0,0.0,0,0,0,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,27-2042,Musicians and Singers,10,20,10,0.5,10,10,30,0.00,0.00,No formal educational credential,None,Long-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",0,0,0,0.0,0,0,0,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,27-3031,Public Relations Specialists,40,40,0,0.0,10,30,40,32.15,66864.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1021,"Dentists, General",40,40,0,0.1,10,0,10,86.99,180929.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1031,Dietitians and Nutritionists,20,20,0,0.2,10,10,20,34.19,71108.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,Middle Sierra,2018-2028,29-1051,Pharmacists,100,90,-10,-0.1,20,20,30,68.79,143073.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1066,Psychiatrists,40,40,0,0.1,10,10,20,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Middle Sierra,2018-2028,29-1069,"Physicians and Surgeons, All Other",70,100,30,0.3,10,10,50,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Middle Sierra,2018-2028,29-1071,Physician Assistants,40,60,20,0.6,10,20,50,63.54,132165.00,Master's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1122,Occupational Therapists,20,20,10,0.4,0,10,20,0.00,0.00,Master's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1123,Physical Therapists,70,100,30,0.4,20,20,70,49.07,102059.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1131,Veterinarians,20,30,10,0.3,0,0,10,46.42,96560.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1141,Registered Nurses,710,930,230,0.3,230,210,660,49.76,103506.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-1171,Nurse Practitioners,40,60,20,0.6,10,20,50,69.54,144641.00,Master's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2010,Clinical Laboratory Technologists and Technicians,80,90,20,0.2,20,30,70,21.92,45594.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2021,Dental Hygienists,80,90,20,0.2,40,20,70,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2034,Radiologic Technologists,50,70,20,0.4,10,20,50,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2041,Emergency Medical Technicians and Paramedics,140,180,40,0.3,30,80,140,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2052,Pharmacy Technicians,110,120,10,0.0,30,60,100,19.99,41564.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,29-2056,Veterinary Technologists and Technicians,50,70,20,0.4,20,30,70,19.00,39513.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2061,Licensed Practical and Licensed Vocational Nurses,200,240,30,0.2,70,90,200,34.69,72155.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2071,Medical Records and Health Information Technicians,70,90,20,0.3,20,30,70,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,29-2081,"Opticians, Dispensing",30,30,0,0.1,10,10,30,19.61,40791.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,31-1014,Nursing Assistants,270,380,110,0.4,180,190,470,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,31-2022,Physical Therapist Aides,20,30,10,0.4,10,20,40,15.92,33122.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,31-9091,Dental Assistants,200,240,40,0.2,100,150,290,24.58,51134.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,31-9092,Medical Assistants,260,370,110,0.4,120,230,460,18.95,39404.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,31-9093,Medical Equipment Preparers,10,20,10,0.4,10,10,20,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,31-9095,Pharmacy Aides,120,80,-40,-0.3,50,80,90,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,31-9099,"Healthcare Support Workers, All Other",40,40,0,0.0,20,30,50,0.00,0.00,High school diploma or equivalent,None,None
Regional Planning Unit,Middle Sierra,2018-2028,33-1011,First-Line Supervisors of Correctional Officers,200,180,-20,-0.1,60,70,110,53.61,111503.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,33-1012,First-Line Supervisors of Police and Detectives,40,40,0,0.1,10,10,30,74.14,154209.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,60,70,10,0.1,20,30,50,38.30,79660.00,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",70,70,0,0.0,30,40,70,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,33-2011,Firefighters,670,730,60,0.1,130,350,540,23.68,49246.00,Postsecondary non-degree award,None,Long-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,33-3012,Correctional Officers and Jailers,1190,1070,-120,-0.1,430,570,880,43.67,90848.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,33-3021,Detectives and Criminal Investigators,20,30,10,0.2,10,10,20,54.08,112505.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,33-3051,Police and Sheriff's Patrol Officers,220,250,30,0.1,60,110,200,43.82,91149.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,33-9032,Security Guards,290,310,20,0.1,150,230,400,16.47,34263.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,33-9099,"Protective Service Workers, All Other",130,140,10,0.1,180,150,340,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-1011,Chefs and Head Cooks,50,60,0,0.0,20,50,70,30.31,63044.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,220,230,20,0.1,100,240,360,23.02,47868.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,35-2011,"Cooks, Fast Food",220,190,-30,-0.1,110,180,270,15.10,31407.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-2012,"Cooks, Institution and Cafeteria",160,150,-10,-0.0,80,130,210,17.71,36855.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-2014,"Cooks, Restaurant",810,930,110,0.1,460,770,1340,15.63,32514.00,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-2015,"Cooks, Short Order",80,90,10,0.1,50,80,130,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-2021,Food Preparation Workers,240,250,10,0.0,180,250,440,14.63,30415.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-3011,Bartenders,280,290,10,0.0,130,370,510,15.34,31904.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",1070,1170,100,0.1,900,1100,2100,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",130,150,10,0.1,160,150,320,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-3031,Waiters and Waitresses,1430,1450,20,0.0,1000,1760,2780,14.59,30342.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-3041,"Food Servers, Nonrestaurant",80,100,10,0.2,70,70,150,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,230,240,10,0.0,200,210,420,14.52,30203.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,35-9021,Dishwashers,340,340,0,-0.0,250,280,530,14.52,30199.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,110,120,10,0.1,50,80,140,21.58,44890.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",50,50,10,0.1,20,40,60,30.31,63037.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",780,840,60,0.1,490,570,1120,15.87,33012.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,37-2012,Maids and Housekeeping Cleaners,660,660,0,0.0,470,420,890,15.22,31644.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,37-3011,Landscaping and Groundskeeping Workers,440,520,80,0.2,200,430,700,15.62,32495.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,39-3091,Amusement and Recreation Attendants,160,180,20,0.1,190,220,420,15.14,31491.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,39-4021,Funeral Attendants,10,10,0,0.3,10,10,20,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,39-5092,Manicurists and Pedicurists,70,70,-10,-0.1,40,40,70,14.56,30297.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Middle Sierra,2018-2028,39-7010,Tour and Travel Guides,110,150,50,0.4,100,130,270,18.55,38587.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,39-9011,Childcare Workers,220,200,-20,-0.1,150,160,290,15.61,32465.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,39-9021,Personal Care Aides,820,1030,210,0.3,680,600,1500,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,39-9032,Recreation Workers,160,160,0,0.0,100,170,270,17.78,36975.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,39-9041,Residential Advisors,10,10,0,0.1,10,10,20,18.93,39359.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,41-1011,First-Line Supervisors of Retail Sales Workers,600,580,-20,-0.0,200,440,620,21.90,45532.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,41-1012,First-Line Supervisors of Non-Retail Sales Workers,80,80,0,-0.0,30,50,70,26.72,55584.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,41-2011,Cashiers,1410,1370,-40,-0.0,1240,1380,2580,15.55,32345.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,41-2021,Counter and Rental Clerks,190,180,0,-0.0,90,140,230,15.64,32534.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,41-2031,Retail Salespersons,1190,1120,-80,-0.1,660,1020,1610,15.81,32877.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,41-3099,"Sales Representatives, Services, All Other",150,170,20,0.1,50,160,230,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,41-9011,Demonstrators and Product Promoters,230,270,50,0.2,250,180,480,16.67,34688.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,41-9099,"Sales and Related Workers, All Other",30,30,0,-0.1,10,20,30,17.19,35763.00,High school diploma or equivalent,None,None
Regional Planning Unit,Middle Sierra,2018-2028,43-1011,First-Line Supervisors of Office and Administrative Support Workers,450,470,10,0.0,170,310,490,25.01,52023.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,43-3011,Bill and Account Collectors,20,20,0,0.1,10,20,30,22.71,47239.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,43-3021,Billing and Posting Clerks,140,180,40,0.3,70,110,220,21.77,45283.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",770,780,20,0.0,470,430,920,21.78,45309.00,"Some college, no degree",None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,43-3051,Payroll and Timekeeping Clerks,70,60,-10,-0.1,30,40,70,24.45,50871.00,High school diploma or equivalent,None,Moderate-term on-the-job training
